"","id","sexe","age_day","age_year","fratrie","canton_residence","formation_m","formation_p","habitat","filiere","liquide","loisirs","taches_domestiques","etudes","sommeil","distance","mobilite","pays","avion","frequence_facebook","frequence_twitter","frequence_instagram","frequence_snapchat","frequence_jodel","frequence_tiktok","reseau_facebook","reseau_instagram","opinion_algorithmes","opinion_queer","opinion_quotas","opinion_desobeissance","opinion_vols","opinion_logiciele","opinion_laffinite","opinion_crainte","opinion_comparison","opinion_questionnaire"
"200","SS18",1,7614,20,2,3,3,5,1,1,105,17,3,28,52,67,3,18,0,4,5,5,3,4,5,765,0,1,2,1,2,4,1,4,3,2,1
"201","SS28",1,7488,20,1,1,2,5,1,4,0.45,20,3,23,56,11.4,3,13,6,4,5,4,1,5,5,660,403,3,2,3,2,4,3,2,2,2,3
"202","TA12",2,9003,24,7,9,5,5,0,2,29.2,1,2,18,7,0.26,1,9,2,4,4,3,4,5,4,1463,212,1,2,4,4,3,1,4,1,1,4
"203","TD12",2,7382,20,2,9,5,5,0,4,1.7,15,3,16,63,1.99,1,9,15,4,5,3,2,5,5,218,195,3,2,2,3,2,2,2,2,2,1
"204","TF20",2,7343,20,1,9,2,3,0,4,1.3,10,3,14,56,2,1,13,0,4,3,3,3,5,5,702,5082,2,2,3,1,2,1,1,1,1,3
"205","TH16",2,8395,16,2,4,4,3,1,1,17,6,10,11,25,5,3,4,2,4,2,1,4,5,5,2500,579,2,4,2,1,2,3,2,4,3,3
"206","TJ19",1,6798,18,2,1,3,2,1,3,4.9,20,2,15,60,15,3,13,5,5,5,3,1,5,5,0,300,2,1,3,3,3,4,3,2,2,3
"207","TM07",1,7665,21,1,1,3,3,1,1,10.7,14,7,30,32,15,3,11,0,5,5,3,5,5,5,0,812,3,2,3,3,4,1,2,3,3,3
"208","TM18",2,7292,19.964,1,1,5,3,1,1,75.45,6,2,24,40,15,3,10,2,4,5,4,1,5,5,494,314,2,2,3,2,3,3,4,2,4,4
"209","UF16",2,7300,20,0,3,5,5,1,4,30,144,2,8,42,33,3,8,2,4,4,3,3,5,4,596,509,1,2,3,3,4,2,3,4,1,4
"210","VA18",2,7071,19,2,1,4,5,1,4,382,6,3,30,50,7.5,3,7,2,4,4,4,3,5,5,358,642,2,2,3,3,4,3,1,1,2,NA
"211","VG04",2,7214,19,1,9,2,3,0,4,8,42,14,31,56,3,3,10,2,3,1,1,1,5,4,154,431,1,1,2,2,3,2,1,2,2,4
"212","WY05",2,7170,19,2,4,5,5,1,1,21.2,4,2,30,56,29.5,3,11,2,4,1,4,2,5,4,205,462,1,3,4,3,4,2,2,4,1,4
"213","XA20",2,7102,19,1,9,5,5,0,4,1.15,30,5,50,50,40,4,7,6,4,4,4,4,5,5,557,621,3,1,3,1,1,3,1,2,2,3
"214","XB25",2,7224,19,3,9,5,5,0,4,21.05,42,14,31,56,3,3,17,8,4,3,3,1,5,5,424,409,1,NA,2,NA,4,2,1,1,1,3
"215","XS20",2,8042,22,2,9,1,5,0,6,5,15,10,30,49,1.8,3,16,17,4,5,3,4,5,5,475,845,3,2,3,1,3,2,2,3,3,2
"216","XT24",1,23362,64,2,8,2,2,0,5,12.65,12,11,10,9,62,3,2,0,5,5,5,5,5,5,0,0,2,4,4,1,1,4,4,1,4,NA
"217","YA25",2,6972,19,2,3,5,3,1,3,0.35,15,4,21,56,38.73,3,9,7,4,5,4,2,5,5,211,494,2,2,3,3,4,2,2,2,3,3
"218","YC15",2,7447,20,3,1,3,5,1,4,40,25,4,25,56,4.6,3,11,4,1,4,1,1,5,5,330,411,1,1,3,3,3,2,2,3,2,2
"219","YK15",1,8054,22,1,4,4,3,1,3,357.6,4,3,15,46,20.89,4,14,0,4,5,3,3,5,4,584,427,2,3,4,3,3,2,2,2,2,3
"220","YN17",2,7165,19,1,2,4,2,1,3,5.4,25,1.5,30,63,51,3,14,6,4,5,4,3,5,5,1017,828,3,4,4,3,4,3,1,3,1,3
"221","YS18",1,8279,22,1,2,2,2,1,2,15.25,30,5,20,50,47.64,3,9,3,5,5,5,1,5,5,0,0,4,3,3,2,2,3,4,3,2,3
"222","ZH03",2,9468,25,2,3,5,1,0,4,10,10,4,6,56,0.7,3,15,2,4,5,4,4,5,5,124,349,2,3,2,3,3,2,2,2,2,2
